Key,en,es,ar
Counter Title Value 2,Counter Title Value 2,Valor del título del contador 2,قيمة عنوان العداد 2
Counter Title 3,Counter Title 3,Título del contador 3,عنوان العداد 3
Counter Title Value 3,Counter Title Value 3,Valor del título del contador 3,قيمة عنوان العداد 3
Subscribe,Subscribe,Suscribir,يشترك
Payment Methods,Payment Methods,Métodos de pago,طرق الدفع
Automatic Add Money,Automatic Add Money,Agregar dinero automáticamente,إضافة الأموال تلقائيًا
Gateway,Gateway,Puerta,بوابة
Supported Currency,Supported Currency,Moneda admitida,العملة المدعومة
Enabled Currency,Enabled Currency,Moneda habilitada,العملة الممكّنة
Add Automatic Gateway (Add Money),Add Automatic Gateway (Add Money),Agregar puerta de enlace automática (Agregar dinero),إضافة بوابة تلقائية (إضافة أموال)
Gateway Image,Gateway Image,Imagen de puerta de enlace,صورة البوابة
Gateway Name,Gateway Name,Nombre de la puerta de enlace,اسم البوابة
Gateway Title,Gateway Title,Título de la puerta de enlace,عنوان البوابة
Supported Currencies,Supported Currencies,Monedas admitidas,العملات المدعومة
Amount Limit,Amount Limit,Límite de cantidad,حد المبلغ
View User,View User,Ver usuario,عرض المستخدم
Add Money Confirm Logs,Add Money Confirm Logs,Agregar registros de confirmación de dinero,إضافة سجلات تأكيد الأموال
All Transfer Money Logs,All Transfer Money Logs,Todos los registros de transferencia de dinero,جميع سجلات تحويل الأموال
Confirm Transfer Money Logs,Confirm Transfer Money Logs,Confirmar registros de transferencia de dinero,تأكيد سجلات تحويل الأموال
Add Money Pending Logs,Add Money Pending Logs,Agregar registros de dinero pendiente,إضافة سجلات الأموال المعلقة
Add Money Reject Logs,Add Money Reject Logs,Agregar registros de rechazo de dinero,إضافة سجلات رفض الأموال
Genarate Fields,Genarate Fields,Campos generados,توليد الحقول
Value,Value,Valor,قيمة
Automatic Add Money Edit,Automatic Add Money Edit,Agregar dinero automáticamente Editar,تحرير إضافة الأموال تلقائيًا
Update Gateway,Update Gateway,Actualizar puerta de enlace,تحديث البوابة
Global Setting for,Global Setting for,Configuración global para,الإعداد العالمي ل
in bellow,in bellow,abajo,في رفع الصوت عاليا
Gateway Environment,Gateway Environment,Entorno de puerta de enlace,بيئة البوابة
Total Supported Currency,Total Supported Currency,Moneda total admitida,إجمالي العملة المدعومة
Minimum,Minimum,Mínimo,الحد الأدنى
Maximum,Maximum,Máximo,الحد الأقصى
Charge,Charge,Cargar,تكلفة
Fixed,Fixed,Fijado,مُثَبَّت
Percent,Percent,Por ciento,نسبة مئوية
Manual Add Money,Manual Add Money,Agregar dinero manualmente,دليل إضافة المال
Currency Code,Currency Code,Código de moneda,رمز العملة
Currency Symbol,Currency Symbol,Símbolo de moneda,رمز العملة
Instruction,Instruction,Instrucción,تعليمات
Collect Data,Collect Data,Recopilar datos,جمع البيانات
Mark as Solved,Mark as Solved,Marcar como resuelto,"وضع علامة ""محلول""."
Write something,Write something,escribe algo,اكتب شيئا
Save Cards,Save Cards,Guardar tarjetas,حفظ البطاقات
Virtual Card,Virtual Card,Tarjeta Virtual,البطاقة الافتراضية
Latest Transactions,Latest Transactions,Últimas transacciones,أحدث المعاملات
Transfer money to,Transfer money to,transferir dinero a,تحويل الأموال إلى
Received money from,Received money from,Recibió dinero de,تلقى المال من
Transaction Overview,Transaction Overview,Descripción general de la transacción,نظرة عامة على الصفقة
Delete Account,Delete Account,Eliminar cuenta,حذف الحساب
Exchange Rate,Exchange Rate,Tipo de cambio,سعر الصرف
Summary,Summary,Resumen,ملخص
Sending Amount,Sending Amount,Monto de envío,إرسال المبلغ
Total Fees & Charges,Total Fees & Charges,Tarifas y cargos totales,إجمالي الرسوم والمصاريف
Total Payable Amount,Total Payable Amount,Monto total a pagar,إجمالي المبلغ المستحق
Transfer Amount,Transfer Amount,Monto de la transferencia,مبلغ التحويل
Payment Instructions,Payment Instructions,Instrucciones de pago,تعليمات الدفع
Will Get Amount,Will Get Amount,Recibirá la cantidad,سوف تحصل على المبلغ
Remarks,Remarks,Observaciones,ملاحظات
Limit,Limit,Límite,حد
Enter Amount,Enter Amount,Ingrese el monto,أدخل المبلغ
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني
Explain Request Purposes Here,Explain Request Purposes Here,Explique los propósitos de la solicitud aquí,اشرح أغراض الطلب هنا
View More,View More,Ver más,عرض المزيد
Request Amount,Request Amount,Monto solicitado,مبلغ الطلب
Stripe Secret Key,Stripe Secret Key,Clave secreta de rayas,شريط المفتاح السري
Enter Stripe Secret Key,Enter Stripe Secret Key,Ingrese la clave secreta de Stripe,أدخل مفتاح الشريط السري
Successfully added money.,Successfully added money.,Dinero agregado exitosamente.,تمت إضافة الأموال بنجاح.
Transaction Success. Please wait for admin confirmation.,Transaction Success. Please wait for admin confirmation.,Éxito de la transacción. Espere la confirmación del administrador.,نجاح الصفقة. الرجاء الانتظار لتأكيد المشرف.
Successfully transfered money.,Successfully transfered money.,Dinero transferido exitosamente.,تم تحويل الأموال بنجاح.
Payment Gateway configuration successfully.,Payment Gateway configuration successfully.,Configuración de la Pasarela de Pago exitosamente.,تم تكوين بوابة الدفع بنجاح.
Merchant api key not found!,Merchant api key not found!,¡No se encontró la clave API del comerciante!,لم يتم العثور على مفتاح واجهة برمجة تطبيقات التاجر!
Ex: Cards or Trx,Ex: Cards or Trx,Ej: Tarjetas o Trx,على سبيل المثال: البطاقات أو Trx
Add New Card,Add New Card,Agregar nueva tarjeta,إضافة بطاقة جديدة
Card method created successfully.,Card method created successfully.,Método de tarjeta creado exitosamente.,تم إنشاء طريقة البطاقة بنجاح.
Card method updated successfully.,Card method updated successfully.,El método de la tarjeta se actualizó correctamente.,تم تحديث طريقة البطاقة بنجاح.
Card method deleted successfully.,Card method deleted successfully.,El método de la tarjeta se eliminó correctamente.,تم حذف طريقة البطاقة بنجاح.
Transaction Log,Transaction Log,Registro de transacciones,سجل المعاملات
Add Money Log,Add Money Log,Agregar registro de dinero,إضافة سجل الأموال
Transfer Money Log,Transfer Money Log,Registro de transferencia de dinero,سجل تحويل الأموال
Payment Log,Payment Log,Registro de pagos,سجل الدفع
Payment Information ID,Payment Information ID,Identificación de información de pago,معرف معلومات الدفع
Proof Of Identity,Proof Of Identity,Documentos de identidad,إثبات الهوية
Download Google Authenticator App,Download Google Authenticator App,Descargue la aplicación Google Authenticator,تنزيل تطبيق Google Authenticator
Download For Android,Download For Android,Descargar para Android,تحميل للاندرويد
Download For IOS,Download For IOS,Descargar para IOS,تحميل لنظام IOS
Help Center,Help Center,Centro de ayuda,مركز المساعدة
How can we help you?,How can we help you?,¿Cómo podemos ayudarte?,كيف يمكننا مساعدتك؟
Personal,Personal,Personal,شخصي
Business,Business,Negocio,عمل
Accept Payments,Accept Payments,Aceptar pagos,قبول المدفوعات
Company,Company,Compañía,شركة
Blog,Blog,Blog,مدونة
Follow us,Follow us,Síganos,تابعنا
Help,Help,Ayuda,يساعد
Our Location,Our Location,Nuestra Ubicación,موقعنا
Call us on,Call us on,Llámanos al,اتصل بنا على
Email us directly,Email us directly,Envíenos un correo electrónico directamente,راسلنا عبر البريد الإلكتروني مباشرة
Copyright,Copyright,Derechos de autor,حقوق الطبع والنشر
All Rights Reserved By,All Rights Reserved By,Todos los derechos reservados por,جميع الحقوق محفوظة بواسطة
Introduction,Introduction,Introducción,مقدمة
Getting Started,Getting Started,Empezando,ابدء
Prerequisites,Prerequisites,Requisitos previos,المتطلبات الأساسية
Authentication,Authentication,Autenticación,المصادقة
Base URL,Base URL,URL base,عنوان URL الأساسي
API Reference,API Reference,Referencia de API,مرجع واجهة برمجة التطبيقات
Access Token,Access Token,Token de acceso,رمز الوصول
Initiate Payment,Initiate Payment,Iniciar pago,بدء الدفع
Check Payment Status,Check Payment Status,Verificar estado de pago,التحقق من حالة الدفع
Response Codes,Response Codes,Códigos de respuesta,رموز الاستجابة
Error Handling,Error Handling,Manejo de errores,معالجة الأخطاء
Best Practices,Best Practices,Mejores prácticas,أفضل الممارسات
Examples,Examples,Ejemplos,أمثلة
FAQ,FAQ,Preguntas frecuentes,التعليمات
Back to Home page,Back to Home page,Volver a la página de inicio,العودة إلى الصفحة الرئيسية
Welcome to the,Welcome to the,Bienvenido a la,مرحبا بكم في
Log In,Log In,Acceso,تسجيل الدخول
Sign Up,Sign Up,Inscribirse,اشتراك
Are you sure to mark as solved (Token:,Are you sure to mark as solved (Token:,¿Estás seguro de marcar como resuelto (Token:,"هل أنت متأكد من وضع علامة ""تم الحل"" (الرمز المميز:"
Password Change,Password Change,Cambio de contraseña,تغيير كلمة المرور
Total Add Money Balance,Total Add Money Balance,Saldo total de dinero agregado,إجمالي إضافة رصيد المال
Success Balance,Success Balance,Equilibrio de éxito,ميزان النجاح
Pending Balance,Pending Balance,Saldo Pendiente,الرصيد المعلق
Total Money Out Balance,Total Money Out Balance,Saldo total de salida de dinero,إجمالي رصيد الأموال الخارجة
Admin Profits,Admin Profits,Beneficios de administrador,أرباح الإدارة
Transactions Analytics,Transactions Analytics,Análisis de transacciones,تحليلات المعاملات
Growth,Growth,Crecimiento,نمو
Today,Today,Hoy,اليوم
Last Week,Last Week,La semana pasada,الأسبوع الماضي
Last Month,Last Month,Mes pasado,الشهر الماضي
Last Year,Last Year,El año pasado,العام الماضي
Flag,Flag,Bandera,علَم
Transaction Methods,Transaction Methods,Métodos de transacción,طرق المعاملات
Virtual Card Api,Virtual Card Api,API de tarjeta virtual,واجهة برمجة تطبيقات البطاقة الافتراضية
Fund Transfer,Fund Transfer,Transferencia de fondos,تحويل الأموال
Salary Disbursement,Salary Disbursement,Desembolso de Salario,صرف الراتب
Money Out Logs,Money Out Logs,Registros de salida de dinero,سجلات خروج الأموال
Fund Transfer Logs,Fund Transfer Logs,Registros de transferencia de fondos,سجلات تحويل الأموال
Virtual Card Logs,Virtual Card Logs,Registros de tarjetas virtuales,سجلات البطاقة الافتراضية
Salary Disbursement Logs,Salary Disbursement Logs,Registros de desembolso de salarios,سجلات صرف الرواتب
Bank List,Bank List,Lista de bancos,قائمة البنك
Bank Branch,Bank Branch,Sucursal bancaria,فرع البنك
Mobile Bank,Mobile Bank,Banco Móvil,بنك المحمول
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة
Money Out,Money Out,Salida de dinero,المال خارج
"Method status updated successfully!","Method status updated successfully!","¡El estado del método se actualizó exitosamente!","تم تحديث حالة الطريقة بنجاح!"
Daily Transfer Limit,Daily Transfer Limit,Límite de transferencia diaria,حد التحويل اليومي
Monthly Transfer Limit,Monthly Transfer Limit,Límite de transferencia mensual,حد التحويل الشهري
Own Bank Transfer,Own Bank Transfer,Transferencia Bancaria Propia,التحويل البنكي الخاص
Other Bank Transfer,Other Bank Transfer,Otra transferencia bancaria,تحويل بنكي آخر
Virtual Card Charges,Virtual Card Charges,Cargos de tarjeta virtual,رسوم البطاقة الافتراضية
Reload Card Charges,Reload Card Charges,Recargar Cargos de Tarjeta,إعادة تحميل رسوم البطاقة
Public Key,Public Key,Clave pública,المفتاح العام
Mode,Mode,Modo,وضع
Card Limit,Card Limit,Límite de tarjeta,حد البطاقة
Card Details,Card Details,Detalles de la tarjeta,تفاصيل البطاقة
Background Image,Background Image,Imagen de fondo,صورة الخلفية
Virtual card api credentials updated successfully,Virtual card api credentials updated successfully,Credenciales API de tarjeta virtual actualizadas exitosamente,تم تحديث بيانات اعتماد API للبطاقة الافتراضية بنجاح
Add Bank,Add Bank,Agregar banco,أضف البنك
Bank Name,Bank Name,Nombre del banco,اسم البنك
Add New Bank,Add New Bank,Agregar nuevo banco,إضافة بنك جديد
Bank Updated Successfully!,Bank Updated Successfully!,¡Banco actualizado con éxito!,تم تحديث البنك بنجاح!
Bank status updated successfully!,Bank status updated successfully!,¡El estado del banco se actualizó exitosamente!,تم تحديث حالة البنك بنجاح!
Bank deleted successfully!,Bank deleted successfully!,¡Banco eliminado exitosamente!,تم حذف البنك بنجاح!
Edit Bank,Edit Bank,Editar banco,تحرير البنك
Add Branch,Add Branch,Agregar sucursal,إضافة فرع
Branch Name,Branch Name,Nombre de la sucursal,اسم الفرع
Add New Branch,Add New Branch,Agregar nueva sucursal,إضافة فرع جديد
Select Bank,Select Bank,Seleccionar banco,حدد البنك
Edit Branch,Edit Branch,Editar rama,تحرير فرع
Bank Branch Saved Successfully!,Bank Branch Saved Successfully!,¡Sucursal bancaria guardada con éxito!,تم حفظ فرع البنك بنجاح!
Bank Branch Updated Successfully!,Bank Branch Updated Successfully!,¡Sucursal bancaria actualizada con éxito!,تم تحديث فرع البنك بنجاح!
Branch status updated successfully!,Branch status updated successfully!,¡El estado de la sucursal se actualizó exitosamente!,تم تحديث حالة الفرع بنجاح!
Bank branch deleted successfully!,Bank branch deleted successfully!,¡Sucursal bancaria eliminada con éxito!,تم حذف فرع البنك بنجاح!
Setup Mobile Bank,Setup Mobile Bank,Configurar banco móvil,إعداد البنك المحمول
Add Mobile Bank,Add Mobile Bank,Agregar banco móvil,إضافة بنك المحمول
Edit Mobile Bank,Edit Mobile Bank,Editar banco móvil,تحرير بنك المحمول
Mobile Bank Name,Mobile Bank Name,Nombre del banco móvil,اسم البنك المحمول
Add New Mobile Bank,Add New Mobile Bank,Agregar nuevo banco móvil,إضافة بنك المحمول الجديد
All Companies,All Companies,Todas las empresas,جميع الشركات
Company Name,Company Name,nombre de empresa,اسم الشركة
Email/Username,Email/Username,Correo electrónico/nombre de usuario,البريد الإلكتروني/اسم المستخدم
Company Details,Company Details,Detalles de la empresa,تفاصيل الشركة
Available Balance,Available Balance,Saldo disponible,الرصيد المتاح
All Employees,All Employees,Todos los empleados,جميع الموظفين
Add Employee,Add Employee,Agregar empleado,إضافة موظف
Salary Amount,Salary Amount,Monto del salario,مبلغ الراتب
Employee Email,Employee Email,Correo electrónico del empleado,البريد الإلكتروني للموظف
Enter Employee Email,Enter Employee Email,Ingrese el correo electrónico del empleado,أدخل البريد الإلكتروني للموظف
this employee?,this employee?,este empleado?,هذا الموظف؟
Update Amount,Update Amount,Cantidad de actualización,تحديث المبلغ
Please add employee first!,Please add employee first!,¡Agregue primero el empleado!,الرجاء إضافة الموظف أولا!
Employee deleted successfully!,Employee deleted successfully!,¡Empleado eliminado exitosamente!,تم حذف الموظف بنجاح!
Amount updated successfully!,Amount updated successfully!,¡Cantidad actualizada exitosamente!,تم تحديث المبلغ بنجاح!
Employee added successfully.,Employee added successfully.,Empleado agregado exitosamente.,تمت إضافة الموظف بنجاح.
Salary Disbursement Send,Salary Disbursement Send,Envío de Desembolso de Salario,إرسال صرف الراتب
Salary Disbursement Preview,Salary Disbursement Preview,Vista previa del desembolso de salario,معاينة صرف الراتب
Total Salary,Total Salary,Salario total,إجمالي الراتب
Salary,Salary,Salario,مرتب
Salary disbursement successfully.,Salary disbursement successfully.,Desembolso de salario exitoso.,تم صرف الراتب بنجاح .
Live,Live,Vivir,يعيش
Sandbox,Sandbox,Salvadera,رمل
Transaction Details,Transaction Details,Detalles de la transacción,تفاصيل المعاملة
After Charge,After Charge,Después de la carga,بعد الشحن
transaction,transaction,transacción,عملية
Date,Date,Fecha,تاريخ
Are you sure to approve this,Are you sure to approve this,¿Estás seguro de aprobar esto?,هل أنت متأكد من الموافقة على هذا
Transaction successfully approved!,Transaction successfully approved!,¡Transacción aprobada exitosamente!,تمت الموافقة على المعاملة بنجاح!
Transaction rejected successfully!,Transaction rejected successfully!,¡Transacción rechazada exitosamente!,تم رفض المعاملة بنجاح!
Rejejct Transaction,Rejejct Transaction,Rechazar transacción,رفض المعاملة
Receiver Will Get,Receiver Will Get,El receptor obtendrá,سوف يحصل المتلقي
Transaction Type,Transaction Type,Tipo de transacción,نوع المعاملة
Account No,Account No,Número de cuenta,رقم الحساب
Method Name,Method Name,Nombre del método,اسم الطريقة
Account Holder Name,Account Holder Name,Nombre del titular de la cuenta,اسم صاحب الحساب
Account Holder Number,Account Holder Number,Número de titular de cuenta,رقم صاحب الحساب
Received Amount,Received Amount,Monto recibido,المبلغ المستلم
Salary Disbursement Logs Details,Salary Disbursement Logs Details,Detalles de registros de desembolso de salario,تفاصيل سجلات صرف الراتب
Employee Details,Employee Details,Detalles del empleado,تفاصيل الموظف
Current Balance,Current Balance,Saldo actual,الرصيد الحالي
Total Tickets,Total Tickets,Entradas totales,إجمالي التذاكر
Admin Profile Image,Admin Profile Image,Imagen de perfil de administrador,صورة الملف الشخصي للمشرف
Feature Section,Feature Section,Sección de funciones,قسم الميزات
How It Work Section,How It Work Section,Sección Cómo funciona,قسم كيفية العمل
Overview Section,Overview Section,Sección de descripción general,قسم نظرة عامة
Clients Feedback,Clients Feedback,Comentarios de los clientes,تعليقات العملاء
First Heading,First Heading,Primer título,العنوان الأول
First Sub Heading,First Sub Heading,Primer subtítulo,العنوان الفرعي الأول
Second Heading,Second Heading,Segundo encabezado,العنوان الثاني
Second Sub Heading,Second Sub Heading,Segundo subtítulo,العنوان الفرعي الثاني
Add New Feature,Add New Feature,Agregar nueva característica,إضافة ميزة جديدة
Edit Feature Item,Edit Feature Item,Editar elemento de característica,تحرير عنصر الميزة
Add New Item,Add New Item,Agregar nuevo artículo,إضافة عنصر جديد
Add Security,Add Security,Agregar seguridad,أضف الأمان
Edit Security,Edit Security,Editar seguridad,تحرير الأمن
Add Overview,Add Overview,Agregar descripción general,إضافة نظرة عامة
Edit Overview,Edit Overview,Editar descripción general,تحرير نظرة عامة
Add Choose Us,Add Choose Us,Agregar Elíjanos,أضف اختر لنا
Client Feedback Section,Client Feedback Section,Sección de comentarios del cliente,قسم ملاحظات العملاء
Star,Star,Estrella,نجم
(Max 5),(Max 5),(máximo 5),(الحد الأقصى 5)
Category,Category,Categoría,فئة
Add Tags,Add Tags,Agregar etiquetas,إضافة العلامات
Schedule,Schedule,Cronograma,جدول
Add Automatic Gateway,Add Automatic Gateway,Agregar puerta de enlace automática,إضافة بوابة تلقائية
Generate Fields,Generate Fields,Generar campos,توليد الحقول
Currency Name,Currency Name,Nombre de la moneda,اسم العملة
Web Journals,Web Journals,Revistas web,مجلات الويب
Don't Have An Account,Don't Have An Account,No tengo una cuenta,ليس لديك حساب
Account Type,Account Type,Tipo de cuenta,نوع الحساب
Select One,Select One,Seleccione uno,حدد واحدًا
Personal Account,Personal Account,Cuenta personal,الحساب الشخصي
Business Account,Business Account,Cuenta comercial,حساب الأعمال
Password Confirm,Password Confirm,Confirmar contraseña,تأكيد كلمة المرور
Read More,Read More,Leer más,اقرأ المزيد
Continue,Continue,Continuar,يكمل
Recent Posts,Recent Posts,Publicaciones recientes,المشاركات الأخيرة
Feel Free To Get In Touch,Feel Free To Get In Touch,No dude en ponerse en contacto,لا تتردد في التواصل معنا
With Us,With Us,Con nosotros,معنا
Setup Pin,Setup Pin,Pin de configuración,دبوس الإعداد
Beneficiary,Beneficiary,Beneficiario,المستفيد
Transactions,Transactions,Actas,المعاملات
Statement,Statement,Declaración,إفادة
Account Balance,Account Balance,Saldo de cuenta,رصيد الحساب
Total Add Money,Total Add Money,Añadir dinero total,إجمالي إضافة المال
Total Money Out,Total Money Out,Salida total de dinero,إجمالي الأموال الخارجة
Total Fund Transfer,Total Fund Transfer,Transferencia total de fondos,إجمالي تحويل الأموال
Total Fund Received,Total Fund Received,Fondo total recibido,إجمالي الأموال المستلمة
Complete Transaction,Complete Transaction,Transacción completa,إتمام الصفقة
Pending Transaction,Pending Transaction,Transacción pendiente,المعاملة المعلقة
No Record Found!,No Record Found!,¡No se encontró ningún registro!,لم يتم العثور على سجل!
Yearly Transactions,Yearly Transactions,Transacciones anuales,المعاملات السنوية
Congratulations! Your PIN has been successfully set up.Thank you for securing your account.,Congratulations! Your PIN has been successfully set up.Thank you for securing your account.,¡Felicidades! Su PIN se ha configurado correctamente. Gracias por proteger su cuenta.,تهانينا! تم إعداد رقم التعريف الشخصي (PIN) الخاص بك بنجاح. شكرًا لك على تأمين حسابك.
Pin,Pin,Alfiler,دبوس
Enter Pin,Enter Pin,Introducir PIN,أدخل رقم التعريف الشخصي
Save,Save,Ahorrar,يحفظ
Old Pin,Old Pin,Pin viejo,دبوس قديم
Enter Old Pin,Enter Old Pin,Introducir PIN antiguo,أدخل الرقم السري القديم
New Pin,New Pin,Nuevo pin,دبوس جديد
Enter New Pin,Enter New Pin,Introduce un nuevo PIN,أدخل رقم التعريف الشخصي الجديد
Pin setup successfully.,Pin setup successfully.,Configuración del pin exitosa.,تم تثبيت الإعداد بنجاح.
Old pin code is not matched!,Old pin code is not matched!,¡El código PIN antiguo no coincide!,الرمز السري القديم غير متطابق!
Pin updated successfully.,Pin updated successfully.,Pin actualizado correctamente.,تم تحديث الدبوس بنجاح.
Choose Gateway,Choose Gateway,Elija puerta de enlace,اختر البوابة
Add Amount,Add Amount,Agregar cantidad,أضف المبلغ
Add Money Preview,Add Money Preview,Agregar vista previa de dinero,إضافة معاينة المال
Will Get,Will Get,obtendrá,سوف تحصل
Add Money instructions,Add Money instructions,Instrucciones para agregar dinero,إضافة تعليمات المال
Verify Your PIN,Verify Your PIN,Verifique su PIN,تحقق من رقم التعريف الشخصي الخاص بك
Your entered pin does not matched.,Your entered pin does not matched.,Su PIN ingresado no coincide.,رقم التعريف الشخصي الذي أدخلته غير متطابق.
Pin matched successfully.,Pin matched successfully.,El pin coincidió correctamente.,تمت مطابقة الدبوس بنجاح.
Payment Confirmation Success!,Payment Confirmation Success!,¡Confirmación de pago exitosa!,نجاح تأكيد الدفع!
Transaction failed. Record didn\'t saved properly. Please try again.,Transaction failed. Record didn\'t saved properly. Please try again.,La transacción falló. El registro no se guardó correctamente. Por favor inténtalo de nuevo.,فشلت المعاملة. لم يتم حفظ السجل بشكل صحيح. يرجى المحاولة مرة أخرى.
Money Out Preview,Money Out Preview,Vista previa de salida de dinero,معاينة الأموال الخارجة
Money Out Amount,Money Out Amount,Monto del dinero retirado,مبلغ صرف الأموال
Select Gateway,Select Gateway,Seleccionar puerta de enlace,حدد البوابة
Withdraw instructions,Withdraw instructions,Retirar instrucciones,تعليمات السحب
Money Out Details,Money Out Details,Detalles de retiro de dinero,تفاصيل صرف الأموال
Invalid Request!,Invalid Request!,¡Solicitud no válida!,طلب غير صالح!
Payment gateway currency is invalid!,Payment gateway currency is invalid!,¡La moneda de la pasarela de pago no es válida!,عملة بوابة الدفع غير صالحة!
Your wallet is invalid!,Your wallet is invalid!,¡Tu billetera no es válida!,محفظتك غير صالحة!
Your wallet balance is insufficient!,Your wallet balance is insufficient!,¡El saldo de tu billetera es insuficiente!,رصيد محفظتك غير كافي!
Ex: Beneficiary Full Name,Ex: Beneficiary Full Name,Ej: Nombre completo del beneficiario,على سبيل المثال: الاسم الكامل للمستفيد
Are You Sure to Delete Beneficiary?,Are You Sure to Delete Beneficiary?,¿Está seguro de eliminar al beneficiario?,هل أنت متأكد من حذف المستفيد؟
Add Beneficiary,Add Beneficiary,Agregar beneficiario,إضافة مستفيد
Beneficiary Details,Beneficiary Details,Detalles del beneficiario,تفاصيل المستفيد
Beneficiary Type,Beneficiary Type,Tipo de beneficiario,نوع المستفيد
Enter Card Number,Enter Card Number,Ingrese el número de tarjeta,أدخل رقم البطاقة
Card Holder Name,Card Holder Name,Nombre del titular de la tarjeta,اسم حامل البطاقة
Account Number,Account Number,Número de cuenta,رقم الحساب
Beneficiary Sub Type,Beneficiary Sub Type,Subtipo de beneficiario,نوع المستفيد الفرعي
Account Holder Email,Account Holder Email,Correo electrónico del titular de la cuenta,البريد الإلكتروني لصاحب الحساب
Account Holder Phone,Account Holder Phone,Teléfono del titular de la cuenta,هاتف صاحب الحساب
Next,Next,Próximo,التالي
Enter Account Number,Enter Account Number,Ingrese el número de cuenta,أدخل رقم الحساب
Card Number,Card Number,Número de tarjeta,رقم البطاقة
Account,Account,Cuenta,حساب
Select Branch,Select Branch,Seleccionar Sucursal,حدد الفرع
Enter Phone,Enter Phone,Ingresar teléfono,أدخل الهاتف
Select,Select,Seleccionar,يختار
Selected,Selected,Seleccionado,مختارة
To,To,A,ل
Entered Amount,Entered Amount,Monto ingresado,المبلغ المدخل
Transfer Preview,Transfer Preview,Vista previa de transferencia,معاينة النقل
Fund Transfer Preview,Fund Transfer Preview,Vista previa de transferencia de fondos,معاينة تحويل الأموال
Fund transfer successfully done!,Fund transfer successfully done!,¡La transferencia de fondos se realizó con éxito!,تم تحويل الأموال بنجاح!
Transfer Money Successfully,Transfer Money Successfully,Transferir dinero con éxito,تحويل الأموال بنجاح
Transfer Again,Transfer Again,Transferir de nuevo,نقل مرة أخرى
Download PDF,Download PDF,Descargar PDF,تحميل قوات الدفاع الشعبي
Transaction Successful,Transaction Successful,Transacción exitosa,الصفقة ناجحة
Create Card,Create Card,Crear tarjeta,إنشاء بطاقة
My Card,My Card,Mi tarjeta,بطاقتي
Balance,Balance,Balance,توازن
Remove Default,Remove Default,Eliminar valor predeterminado,إزالة الافتراضي
Make Default,Make Default,Establecer como predeterminado,جعل الافتراضي
Fund,Fund,Financiar,تمويل
Fund Virtual Card,Fund Virtual Card,Tarjeta virtual de fondos,بطاقة الصندوق الافتراضية
Fund Amount,Fund Amount,Monto del fondo,مبلغ الصندوق
Fund Card,Fund Card,Tarjeta de fondos,بطاقة الصندوق
Create Virtual Card,Create Virtual Card,Crear tarjeta virtual,إنشاء بطاقة افتراضية
Should match with your ID,Should match with your ID,Debe coincidir con tu DNI,يجب أن تتطابق مع هويتك
Date Of Birth,Date Of Birth,Fecha de nacimiento,تاريخ الميلاد
House Number,House Number,Número de casa,رقم المنزل
ID Card Image (Front Side),ID Card Image (Front Side),Imagen de tarjeta de identificación (anverso),صورة بطاقة الهوية (الجانب الأمامي)
NID/Passport,NID/Passport,DNI/Pasaporte,الرقم الوطني/ جواز السفر
Your Photo,Your Photo,Tu foto,صورتك
Should show your face and must match with your ID,Should show your face and must match with your ID,Debe mostrar tu rostro y debe coincidir con tu identificación.,يجب أن يظهر وجهك ويجب أن يتطابق مع هويتك
The First Name field should only contain letters and cannot start with a number or special character.,The First Name field should only contain letters and cannot start with a number or special character.,El campo Nombre solo debe contener letras y no puede comenzar con un número o carácter especial.,يجب أن يحتوي حقل الاسم الأول على أحرف فقط ولا يمكن أن يبدأ برقم أو حرف خاص.
The Last Name field should only contain letters and cannot start with a number or special character.,The Last Name field should only contain letters and cannot start with a number or special character.,El campo Apellido solo debe contener letras y no puede comenzar con un número o carácter especial.,يجب أن يحتوي حقل اسم العائلة على أحرف فقط ولا يمكن أن يبدأ برقم أو حرف خاص.
Customer has been created successfully.,Customer has been created successfully.,El cliente ha sido creado exitosamente.,تم إنشاء العميل بنجاح.
Update Customer Kyc,Update Customer Kyc,Actualizar Kyc del cliente,تحديث عميل Kyc
ID Card Image,ID Card Image,Imagen de tarjeta de identificación,صورة بطاقة الهوية
Customer has been updated successfully.,Customer has been updated successfully.,El cliente se ha actualizado correctamente.,تم تحديث العميل بنجاح.
Status of the customer you created,Status of the customer you created,Estado del cliente que creaste,حالة العميل الذي قمت بإنشائه
Thank you for submitting your KYC information. Your details are currently under review. We will notify you once the verification is complete. Please note that the creation of your virtual card will proceed after your KYC is approved.,Thank you for submitting your KYC information. Your details are currently under review. We will notify you once the verification is complete. Please note that the creation of your virtual card will proceed after your KYC is approved.,Gracias por enviar su información KYC. Sus datos están actualmente bajo revisión. Le notificaremos una vez que se complete la verificación. Tenga en cuenta que la creación de su tarjeta virtual continuará después de que se apruebe su KYC.,"نشكرك على تقديم معلومات KYC الخاصة بك. التفاصيل الخاصة بك قيد المراجعة حاليا. سنقوم بإعلامك بمجرد اكتمال عملية التحقق. يرجى ملاحظة أن إنشاء بطاقتك الافتراضية سيستمر بعد الموافقة على ""اعرف عميلك"" (KYC)."
